method,run,seed,best_race_time_s,wall_clock_ms
GA,0,6674089274190705457,3635.864,649
GA,1,-1236052134575208584,3697.135,371
GA,2,-3078921119283744887,3640.055,396
GA,3,6022414958441676900,3636.753,450
GA,4,4344647195749500666,3639.606,318
GA,5,6440041613324510652,3633.729,336
GA,6,8265573421575953197,3633.733,341
GA,7,-6674900032466492448,3636.673,356
GA,8,2919502189498201214,3639.030,278
GA,9,-4263262838430303025,3636.088,366
GA,10,-1013215829982866721,3700.299,350
GA,11,1209830369222860200,3638.127,378
GA,12,-3500614978637125381,3639.831,342
GA,13,8815982370389166190,3698.761,230
GA,14,6135136337149060510,3641.260,217
GA,15,-5671795673574091253,3639.558,460
GA,16,-1545304719862780077,3635.280,418
GA,17,6472265773460362391,3632.589,522
GA,18,1664694551407375950,3637.545,535
GA,19,-8201417328859773479,3638.697,508
GA,20,1895862094853980300,3637.437,653
GA,21,-1026407405350174195,3635.113,552
GA,22,3582048408897295416,3635.145,349
GA,23,4676544319411765991,3634.382,703
GA,24,-5606549786281302960,3634.215,328
GA,25,873164914509912792,3705.855,262
GA,26,3702657416359142280,3696.999,231
GA,27,-2764320561543193457,3644.791,550
GA,28,7342153465701196142,3642.286,530
GA,29,4273523332437800642,3639.797,427
